id;nazwa;branza;model_leada;skala;obszar;strona_www;strona_franczyzy_rozwoju;strony_lokalne_status;centrala_oferuje_strony;email;telefon;decydent;stanowisko;linkedin_decydenta;zrodlo;krotkie_uzasadnienie;co_sprzedac;priorytet;powod_odrzucenia
1;Trendy Hair Fashion;fryzjerstwo;franczyza;~70 salonow (60+ franczyzowych), PL + CZ + SK;Polska / Czechy / Slowacja;https://trendyhair.pl;https://trendyhair.pl/franchise/;LUKA POTWIERDZONA - katalog salonow to tylko osadzona Google My Maps - brak stron salonow w Google (tylko katalogi zewnetrzne);NIE POTWIERDZONO;trendyhair@trendyhair.pl;(33) 816 42 22;brak danych;-;brak danych;trendyhair.pl/salony/ + Google (Poznan, Lublin, Kielce);Weryfikacja: brak stron per salon - lista to mapa Google My Maps - luka realna;jeden szablon -> 70 landingow (fryzjer + miasto/dzielnica) z cennikiem i rezerwacja;A+;-
2;Gentlemen Barber Shop;beauty / barbershop;sieć usługowa / franczyza;40+ lokalizacji wg katalogu franczyzy (8 wlasnych + 20 fran. w 2023);ogólnopolska;brak danych;brak danych;LUKA POTWIERDZONA - sa tylko zbiorcze strony per wojewodztwo (/nasze-salony/slaskie/), brak stron per salon;NIE POTWIERDZONO;franczyza@gentlemenbarber.pl;790 371 100;brak danych;-;brak danych;gentlemenbarber.pl/nasze-salony/slaskie/ + franchising.pl;Weryfikacja: strony wojewodzkie tak, strony salonow nie - problem nazwany przez firme, ale niedokonczony;strona per salon + rezerwacja + mapowanie uslug barber;A+;-
3;Dentity (Grupa Dentity);stomatologia / konsolidacja sieci regionalnych;grupa kapitalowa / sieci regionalne;122 gabinety w 22 centrach, 19 miast, 7 wojewodztw;Polska (glownie poludnie);https://www.dentity.pl;https://www.dentity.pl/dolacz-do-nas/;LUKA ZAWEZONA, POTWIERDZONA - ok. 6 marek bez podstron per miasto: Dentica (3 miasta), Estetique (3), Dental Medicenter (2), Usmiechnij Mi Sie (2), Dentiti;CZESCIOWO / DO WERYFIKACJI;brak publicznego e-maila (formularz);brak publicznego telefonu;Grzegorz Struzik;CEO Grupy Dentity;brak danych;dentity.pl/nasze-centra/ + dentonet.pl 23.09.2025;Weryfikacja 25 centrow: czesc marek ma podstrony per miasto, czesc nie - realny zakres ~6 marek / ~12 centrow;szablon landingow per centrum + spojny LocalBusiness dla marek bez podstron, wdrozenie etapami;A+;-
4;Studio Synergy (Studio Synergy Light);EMS / fitness butikowy;franczyza;12-14 studiow (4 wlasne w Krakowie), miasta 20-200 tys.;Polska;https://studiosynergy.pl;https://studiosynergy.pl/twoja-franczyza-ems-opole/;LUKA PRAWDOPODOBNA, POTWIERDZONA CZESCIOWO - strony per miasto istnieja tylko dla kandydatow franczyzowych - brak stron per studio dla klientow;CZESCIOWO;franczyza@studiosynergy.pl;514 514 179;Bartlomiej Stanek;przedstawiciel sieci (cytat, franchising.pl 06.2026);brak danych;studiosynergy.pl/franczyza/ + franchising.pl/artykul/13827;Weryfikacja: Nasze studia = lista z kontaktami - landingi miast sluza rekrutacji franczyzobiorcow, nie klientom;przestawienie stron miast na klienta + landingi per studio (Krakow Centrum, Plock, Poznan);A+;-
5;Samui Spa;masaz balijski i tajski / spa;franczyza;12 lokalizacji (10 wlasnych + 2 franczyzowe) + wlasna szkola masazu;Polska (Konstancin-Jeziorna i in.);https://samui-spa.pl;https://samui-spa.pl/franczyza/;LUKA PRAWDOPODOBNA - samui-spa.pl/salony/ to lista adresowa - brak sladu stron per salon (w serwisach zewnetrznych tylko wizytowki Fresha);NIE POTWIERDZONO;brak publicznego e-maila (formularz);brak publicznego telefonu;brak danych;-;brak danych;samui-spa.pl/salony/ + Fresha + samui-spa.pl/franczyza;Weryfikacja: 12 lokalizacji, w tym Warszawa x4 - brak stron per lokalizacja, tylko lista z kotwicami;landing per salon pod frazy masaz balijski/tajski + miasto/dzielnica;A;-
6;in.Time EMS Studios;fitness / trening EMS;sieć usługowa / franczyza;17 studiów (7 własnych + 10 franczyzowych);ogólnopolska;brak danych;brak danych;LUKA CZESCIOWA POTWIERDZONA - strony per miasto istnieja, brak stron per studio: Wroclaw 4 studia na jednej stronie, Warszawa 2;NIE POTWIERDZONO;franczyza@intime.pl;780 560 537;Kacper Orlowski;osoba kontaktowa ds. franczyzy;brak danych;intime.pl/trening-ems-wroclaw/ + franczyzawpolsce.pl;Weryfikacja: strony miast tak, strony studiow/dzielnic nie - wezszy, ale realny kat;strony per studio/dzielnica (Warszawa 2, Wroclaw 4, Krakow 4) pod frazy dzielnicowe;A;-
7;Freedom Nieruchomości;nieruchomości / agencja;agencja sieciowa / franczyza;100-120 oddzialow, 600 agentow, ~5000 transakcji rocznie;ogólnopolska;https://freedom.pl;https://franczyza.freedom.pl;SKALA POTWIERDZONA (100-120 oddzialow, 600 agentow) - stron per oddzial NIE POTWIERDZONO;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;Agnieszka Dąbrowska (dane z 2018 - wymaga aktualizacji);komunikacja/rozwój sieci;brak danych;franczyza.freedom.pl + freedom-holding.pl (2025/26);Weryfikacja skali: 100+ oddzialow - do sprawdzenia, czy franczyzobiorcy maja wlasne strony (typowe w nieruchomosciach);strona oddzialu + oferta lokalna + wycena mieszkania w [miescie];A;-
8;Haircut Express;fryzjerstwo;franczyza;20-25 salonow w PL, 150 w 5 krajach (120 franczyzowych);Polska / Czechy / Niemcy / Ukraina;brak danych;https://franchising.pl/franczyza/1486/haircut-express/;DANE SKORYGOWANE - w PL tylko 20-25 salonow (nie 30+) - stron per salon NIE POTWIERDZONO;NIE POTWIERDZONO;franczyza@haircutexpress.pl;886 388 206;Iryna Pohodina;wlascicielka sieci;brak danych;franchising.pl (katalog + artykul/12373);Weryfikacja: liczby w PL nizsze niz zakladano - salony glownie wlasne - decyzja centralna mozliwa;landingi per salon (glownie wlasne = szybka decyzja centralna);A;-
9;SPW Szkoła Pamięci;edukacja;sieć usługowa / franczyza;~100 oddziałów (dane 2016 - odświeżyć);ogólnopolska;brak danych;brak danych;ODDZIALY MAJA WLASNE TANIE STRONY (np. szkola-pamieci-spw.localo.site) - luka jakosciowa, nie brak obecnosci;NIE POTWIERDZONO;praca@spw.pl;731 059 182;Ewa Mak;menedzer sieci SPW;brak danych;sprawdzonybiznes.pl (SPW S.C. Hanna i Tomasz Wachowiak, Bydgoszcz);Weryfikacja: oddzialy buduja strony samodzielnie na darmowych kreatorach - brak standardu sieci;standard strony oddzialu + panel dla partnera (luka jakosciowa);A;DANE STARZEJĄ SIĘ - wymagają odświeżenia
10;Tax Care;usługi finansowo-księgowe;sieć usługowa / franczyza + partnerska;~380 biur (dane 2019: 6 wlasnych + 30 fran. + 350 partnerskich);ogólnopolska;https://taxcare.pl;https://taxcare.pl;DANE Z 2019: 6 wlasnych + 30 franczyzowych + 350 partnerskich - stron per biuro NIE POTWIERDZONO;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;Adam Głos (dane z 2016 - wymaga potwierdzenia);prezes Tax Care;brak danych;pb.pl 31.07.2019 + franchising.pl/artykul/11169;Weryfikacja: biura partnerskie to niezalezne podmioty - brak potwierdzenia stron per biuro - dane do odswiezenia;strony per biuro partnerskie pod frazy biuro rachunkowe + miasto;A;-
11;Football Academy / FIFA (sieci szkółek);edukacja / sport dzieci;sieć usługowa / franczyza;~100 lokalizacji;ogólnopolska;brak danych;brak danych;CENTRALNA LISTA MIAST - stron per szkolka NIE POTWIERDZONO;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;Krzysztof Los;dyrektor ds. rozwoju sieci (dane 2019);brak danych;footballacademy.pl + franchising.pl/artykul/11348;Weryfikacja: 150+ szkolek, czesc w 5-tysiecznych gminach - sprawdzic, czy miasta w nawigacji to osobne strony;landing per szkolka pod frazy pilka nozna dla dzieci + miasto;A;DO POTWIERDZENIA nazwa podmiotu i aktualna liczba lokalizacji
12;LuxVet (Grupa LuxVet);weterynaria / konsolidacja;grupa kapitalowa;8 przychodni, cel 150-200 placowek;Polska;brak danych (strona grupy);n/d;PRZEJMOWANE LECZNICE ZACHOWUJA WLASNE MARKI I STRONY - wsparcie administracji/ksiegowosci/marketingu, brak jednolitego standardu stron;DO WERYFIKACJI;brak publicznego e-maila;brak publicznego telefonu;Marcin Halicki;prezes Grupy LuxVet (potwierdzic stanowisko);brak danych;vetkompleksowo.pl 09.2023;Weryfikacja: model akwizycyjny bez standardu stron lokalnych - nowe lecznice czesto bez stron;standard stron dla nowych lecznic + migracja przejetych;A;-
13;ProfiAuto Serwis (siec warsztatow);motoryzacja / warsztaty;kanal partnerski (niezalezne warsztaty);3500 warsztatow (+16 proc. r/r);Polska;https://profiauto.pl/profiauto-serwis;n/d;Warsztaty to niezalezne firmy - siec nie prowadzi za nich stron lokalnych;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;fleet.com.pl + profiauto.pl;Model kanalowy: sprzedajemy sieci strony dla czlonkow, nie jednej firmie;pakiet landingow dla warsztatow partnerskich;A;-
14;Q Service / Compet / S-Plus (sieci warsztatow);motoryzacja / warsztaty;kanal partnerski;~600 / 518 / 700+ warsztatow;Polska;brak danych;n/d;jak ProfiAuto - warsztaty niezalezne;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;fleet.com.pl;Duzy wolumen warsztatow, decyzja po stronie centrali sieci;pakiet stron lokalnych dla warsztatow;A;-
15;Mała Lingua;edukacja / języki w przedszkolach;sieć usługowa / franczyza;40+ partnerów franczyzowych w ~200 punktach;ogólnopolska;brak danych;brak danych;DO WERYFIKACJI;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;franczyzawpolsce.pl;model bez stałych lokalizacji - lokalne strony to jedyny sposób na SEO miasta;pakiet miast (200 punktów) = duża liczba tanich wdrożeń;A;-
16;Edina Vetcare Group;weterynaria / konsolidacja;grupa kapitalowa (TDJ Equity);kilkanascie placowek, cel 200+;Polska;brak danych;n/d;KAZDA LECZNICA MA WLASNA DOMENE (np. lecznica-brynow.pl) - brak jednolitych stron lokalnych;DO WERYFIKACJI;brak publicznego e-maila;brak publicznego telefonu;Aleksandra Gutkowska;zalozycielka Ediny;brak danych;newseria.pl + lecznica-brynow.pl/placowki-grupy-edina/;Weryfikacja: grupa rosnie przez akwizycje, kazda placowka z wlasna strona - luka w standardzie i dla nowych lokalizacji;standaryzacja + landingi dla nowych lecznic pod frazy weterynarz + miasto;A;-
17;SOCATOTS Polska;edukacja / sport dzieci;sieć usługowa / franczyza;2 własne + 70 franczyzowych;ogólnopolska;brak danych;brak danych;DO WERYFIKACJI;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;franczyzawpolsce.pl (raport 2024);szkółki piłkarskie - zapisy lokalne, brak stron oddziałów;strona oddziału + zapisy + abonament;A;-
18;Fizjoacademy;fizjoterapia / rehabilitacja;sieć usługowa / franczyza;4 gabinety własne (Śląsk) + 100+ placówek w programie mentoringowym Masterwey;Śląsk / Polska;https://fizjoacademy.pl;https://fizjoacademy.pl/franczyza-fizjoacademy/;DO WERYFIKACJI;NIE POTWIERDZONO;brak publicznego e-maila (formularz);brak publicznego telefonu;brak danych;-;brak danych;fizjoacademy.pl;Fizjoterapia to zapytania lokalne, a sieć dopiero skaluje franczyzę;1 szablon + strony placówek partnerskich + obsługa techniczna;A;RYZYKO: program mentoringowy, nie jednolity brand
